"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.0193315628944439,0.016263587737768,0.0102386894741896,20000,0.95,0.00037908166843716,0.0459529988476503,0.5,0,0.45,0.55,100,0,0
"theta[2]",0.142120000023879,0.140934068314785,0.13714573209782,20000,0.95,0.0959293339724659,0.191664101617995,0.5,0,0.45,0.55,100,0,0
"theta[3]",0.0476719895887158,0.0461447179404524,0.0432441466071174,20000,0.95,0.021301605385459,0.0767261330167608,0.5,0,0.45,0.55,100,0,0
"theta[1]-theta[2]",-0.122788437129435,-0.122556779289008,-0.125625869393469,20000,0.95,-0.180270197802563,-0.0702506486024739,0,0,-0.05,0.05,99.545,0.454999999999998,0
"theta[1]-theta[3]",-0.0283404266942718,-0.0285485502526203,-0.0288942929957854,20000,0.95,-0.06692609254156,0.0116733963949822,0,7.32,-0.05,0.05,12.805,87.15,0.045
"theta[2]-theta[3]",0.0944480104351636,0.0938524303193066,0.0935178613554858,20000,0.95,0.0404799491724094,0.152030558576799,0,99.975,-0.05,0.05,0,5.64,94.36
