"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.0048908532890448,0.00230169223228376,0.000426703497480857,10000,0.95,1.95158865747847e-11,0.0192797233947947,0.5,0,0.45,0.55,100,0,0
"theta[2]",0.13641947924143,0.135084775452442,0.129733172395792,10000,0.95,0.0934330665295718,0.187872278519249,0.5,0,0.45,0.55,100,0,0
"theta[3]",0.0411118032094063,0.0397549239746766,0.0384382363820213,10000,0.95,0.017111959937545,0.0680130788279542,0.5,0,0.45,0.55,100,0,0
"theta[1]-theta[2]",-0.131528625952385,-0.130584369987882,-0.133495200316758,10000,0.95,-0.181913940227101,-0.0835746326097321,0,0,-0.05,0.05,99.97,0.0300000000000011,0
"theta[1]-theta[3]",-0.0362209499203615,-0.0355015230657067,-0.0343965803666862,9189.7,0.95,-0.0668158661256425,-0.00660687758001838,0,1.1,-0.05,0.05,17.33,82.66,0.01
"theta[2]-theta[3]",0.0953076760320238,0.0942228450745225,0.089638026627953,10306.2,0.95,0.0392909056518198,0.148574330607235,0,99.98,-0.05,0.05,0,4.76000000000001,95.24
