"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.0191423362952298,0.0162075644601179,0.0100764073403322,20000,0.95,0.000420471260121504,0.0449527788226283,0.5,0,0.45,0.55,100,0,0
"theta[2]",0.14215136093101,0.140891051602772,0.134291682716322,20000,0.95,0.0962669775451042,0.190805934932094,0.5,0,0.45,0.55,100,0,0
"theta[3]",0.047553519238139,0.0461683382165231,0.0447837975004056,20000,0.95,0.021312042888115,0.0764825409100542,0.5,0,0.45,0.55,100,0,0
"theta[1]-theta[2]",-0.12300902463578,-0.122350450918107,-0.118071829587568,19549.4,0.95,-0.178229884095593,-0.0691877957120176,0,0.005,-0.05,0.05,99.48,0.519999999999996,0
"theta[1]-theta[3]",-0.0284111829429093,-0.0288065629668183,-0.0303653405262412,20000,0.95,-0.0670871558301194,0.0111659682948279,0,7.19,-0.05,0.05,12.72,87.21,0.07
"theta[2]-theta[3]",0.094597841692871,0.0941883354884593,0.0946542312229582,20000,0.95,0.0425880736885015,0.152957958983874,0,99.94,-0.05,0.05,0,5.33499999999999,94.665
