"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.688051619535373,0.696210697968619,0.716869301546685,50000,0.95,0.469782675649089,0.894953106653686,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.734297907571089,0.73706724032939,0.742529848380369,50000,0.95,0.626009539949582,0.837444418975692,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.312367203462755,0.304169217611289,0.278993179577647,50000,0.95,0.104511914401489,0.532913420199759,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.0462462880357155,-0.0401814318641746,-0.0357901839135177,50000,0.95,-0.290744038533281,0.191520048999279,0,37.324,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.375684416072618,0.38314292272111,0.403846677290431,50000,0.95,0.0614188310330448,0.675603123736911,0,98.596,NA,NA,NA,NA,NA
"theta[2]-theta[3]",0.421930704108334,0.428771549058496,0.443265156739719,50000,0.95,0.169353547930096,0.653864087967787,0,99.906,NA,NA,NA,NA,NA
