room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13980698,18107984,Shared room,,Sunset,0,0.0,4,1.0,76.0,,49.22102,-123.099103,2016-12-24 03:38:56.141859
8538940,44954344,Shared room,,Dunbar Southlands,0,0.0,2,1.0,391.0,,49.24139,-123.17148,2016-12-24 03:38:48.254101
9051802,18643300,Shared room,,Kitsilano,0,0.0,1,1.0,306.0,,49.263225,-123.175918,2016-12-24 03:38:43.061444
14427203,75093232,Shared room,,Grandview-Woodland,0,0.0,1,1.0,192.0,,49.262306,-123.06216,2016-12-24 03:38:37.941011
14360802,88056646,Shared room,,Kitsilano,0,0.0,1,1.0,153.0,,49.271287,-123.151677,2016-12-24 03:38:32.824661
14372272,2392174,Shared room,,Mount Pleasant,0,0.0,1,1.0,153.0,,49.262802,-123.110146,2016-12-24 03:38:32.821856
14452478,47665878,Shared room,,Fairview,0,0.0,1,1.0,169.0,,49.263327,-123.132609,2016-12-24 03:38:32.819169
11040360,57293756,Shared room,,Kitsilano,0,0.0,2,1.0,129.0,,49.259117,-123.165422,2016-12-24 03:38:26.871783
8373943,44136353,Shared room,,Kensington-Cedar Cottage,0,0.0,1,1.0,137.0,,49.260087,-123.062582,2016-12-24 03:38:26.869054
8607688,45284490,Shared room,,Kensington-Cedar Cottage,0,0.0,1,1.0,115.0,,49.25436,-123.089855,2016-12-24 03:38:20.456649
8224530,43368953,Shared room,,Marpole,0,0.0,1,1.0,115.0,,49.209666,-123.130584,2016-12-24 03:38:20.453717
8169348,43115473,Shared room,,Kitsilano,0,0.0,1,1.0,115.0,,49.261648,-123.164147,2016-12-24 03:38:20.451037
6452439,29468683,Shared room,,Downtown,6,4.5,2,1.0,121.0,,49.27477,-123.116545,2016-12-24 03:38:20.448740
8426843,44378140,Shared room,,Fairview,0,0.0,1,1.0,115.0,,49.259338,-123.125987,2016-12-24 03:38:20.446210
6863140,31253707,Shared room,,Downtown,0,0.0,1,1.0,109.0,,49.285572,-123.120341,2016-12-24 03:38:20.443366
7037898,11052994,Shared room,,Kitsilano,5,5.0,2,1.0,99.0,,49.269484,-123.178986,2016-12-24 03:38:15.424706
14371321,7750049,Shared room,,Fairview,0,0.0,1,1.0,103.0,,49.266203,-123.130211,2016-12-24 03:38:15.422355
12990520,10573354,Entire home/apt,,West End,14,4.5,12,5.0,712.0,,49.281845,-123.130935,2016-12-24 02:45:42.077341
3621849,14989962,Entire home/apt,,Hastings-Sunrise,21,4.5,10,5.0,689.0,,49.289755,-123.0512,2016-12-24 02:45:42.073262
11624015,51695,Entire home/apt,,Riley Park,4,5.0,11,5.0,575.0,,49.247893,-123.091516,2016-12-24 02:45:42.067496
14995533,10573354,Entire home/apt,,Riley Park,0,0.0,16,7.0,628.0,,49.250631,-123.109177,2016-12-24 02:45:40.733041
12181990,33289196,Entire home/apt,,Dunbar Southlands,0,0.0,4,2.0,582.0,,49.253346,-123.192083,2016-12-24 02:45:40.724461
2232648,10573354,Entire home/apt,,Oakridge,33,4.5,14,6.0,559.0,,49.225926,-123.117603,2016-12-24 02:45:40.716055
8210247,10856140,Entire home/apt,,Mount Pleasant,0,0.0,9,9.0,613.0,,49.257466,-123.096243,2016-12-24 02:45:40.706607
14758831,89209597,Entire home/apt,,Kitsilano,3,5.0,6,3.0,536.0,,49.274776,-123.150336,2016-12-24 02:45:40.701234
14372000,88189503,Entire home/apt,,West End,0,0.0,2,1.0,613.0,,49.290606,-123.144825,2016-12-24 02:45:40.694090
5883005,29412479,Entire home/apt,,Kitsilano,8,5.0,10,3.0,575.0,,49.270012,-123.171251,2016-12-24 02:45:40.687224
2867771,14385990,Entire home/apt,,Arbutus Ridge,2,0.0,7,3.0,618.0,,49.253634,-123.171491,2016-12-24 02:45:40.684844
5836827,30301070,Entire home/apt,,Downtown,35,4.5,6,2.0,613.0,,49.278606,-123.108428,2016-12-24 02:45:40.681980
664106,3362544,Entire home/apt,,Kitsilano,18,5.0,10,4.0,651.0,,49.26627,-123.183343,2016-12-24 02:45:40.679646
10773542,10573354,Entire home/apt,,Kitsilano,11,4.5,12,5.0,628.0,,49.268367,-123.184397,2016-12-24 02:45:40.674804
7953081,41937234,Entire home/apt,,Downtown,1,0.0,4,2.0,544.0,,49.27405,-123.124016,2016-12-24 02:45:40.670986
13943963,79387286,Entire home/apt,,Grandview-Woodland,1,0.0,6,3.0,613.0,,49.279718,-123.068887,2016-12-24 02:45:40.668661
15376019,62774118,Entire home/apt,,Downtown,0,0.0,10,3.0,649.0,,49.287124,-123.124771,2016-12-24 02:45:40.666317
8626737,22731299,Entire home/apt,,Downtown,33,5.0,6,3.0,670.0,,49.275478,-123.128709,2016-12-24 02:45:40.663791
13336135,39569201,Entire home/apt,,Marpole,0,0.0,6,3.0,345.0,,49.211857,-123.141385,2016-12-24 02:45:33.547670
7104918,6463096,Entire home/apt,,Dunbar Southlands,2,0.0,6,3.0,345.0,,49.257998,-123.194224,2016-12-24 02:45:25.721316
6869396,28240990,Entire home/apt,,Oakridge,0,0.0,12,6.0,512.0,,49.22093,-123.130284,2016-12-24 02:45:25.714496
10679492,55164515,Entire home/apt,,Dunbar Southlands,1,0.0,8,5.0,383.0,,49.257762,-123.195746,2016-12-24 02:45:15.656094
6502871,28696236,Entire home/apt,,Dunbar Southlands,0,0.0,6,4.0,383.0,,49.231388,-123.192738,2016-12-24 02:45:09.909272
14090993,84765540,Entire home/apt,,Dunbar Southlands,4,4.5,12,5.0,335.0,,49.241348,-123.189792,2016-12-24 02:45:05.705642
16477026,99153239,Entire home/apt,,Arbutus Ridge,0,0.0,8,4.0,383.0,,49.242643,-123.168827,2016-12-24 02:45:05.702337
12425241,34945483,Entire home/apt,,Arbutus Ridge,8,4.5,12,4.0,413.0,,49.238051,-123.1687,2016-12-24 02:45:00.730097
13412714,76394224,Entire home/apt,,Arbutus Ridge,4,4.5,6,3.0,377.0,,49.234956,-123.16334,2016-12-24 02:45:00.727088
14483560,19860313,Entire home/apt,,Arbutus Ridge,1,0.0,6,3.0,317.0,,49.252482,-123.16351,2016-12-24 02:44:52.584351
1113551,5231060,Entire home/apt,,Kitsilano,19,5.0,8,3.0,368.0,,49.260561,-123.158737,2016-12-24 02:44:47.029860
14807411,38711754,Entire home/apt,,Kitsilano,0,0.0,6,2.0,383.0,,49.26084,-123.176775,2016-12-24 02:44:43.685549
2011559,9372276,Entire home/apt,,Kitsilano,4,5.0,8,4.0,368.0,,49.25974,-123.159069,2016-12-24 02:44:43.682506
