room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4802,4744193,Entire home/apt,,West End,22,4.0,2.0,,112.0,1.0,49.289197,-123.136875,2015-04-25 03:36:39.878
5731,9187,Private room,,Kensington-Cedar Cottage,89,4.5,1.0,1.0,47.0,3.0,49.247877,-123.065678,2015-04-25 02:15:46.949
6142,12458,Private room,,Downtown,56,5.0,2.0,1.0,80.0,2.0,49.273047,-123.129669,2015-04-25 04:24:10.428
9167,29054,Private room,,Downtown,0,,3.0,1.0,629.0,5.0,49.280203,-123.119048,2015-04-25 03:48:16.869
9336,30033,Entire home/apt,,Downtown,0,,4.0,2.0,225.0,3.0,49.279098,-123.119974,2015-04-25 02:35:16.374
9484,31122,Entire home/apt,,Downtown,17,4.5,4.0,2.0,213.0,4.0,49.284606,-123.114181,2015-04-25 01:06:52.412
9486,31128,Entire home/apt,,Downtown Eastside,5,5.0,2.0,,225.0,3.0,49.282845,-123.102829,2015-04-25 01:08:08.111
10080,30899,Entire home/apt,,Downtown,11,4.5,,2.0,179.0,4.0,49.287724,-123.122794,2015-04-25 02:13:38.484
10083,30899,Entire home/apt,,Downtown,17,4.0,,2.0,159.0,4.0,49.278563,-123.10926,2015-04-25 02:15:58.104
10098,32848,Entire home/apt,,Fairview,9,3.0,,2.0,149.0,3.0,49.266693,-123.116753,2015-04-25 02:29:35.441
10105,32848,Entire home/apt,,Fairview,8,4.0,2.0,1.0,139.0,3.0,49.264305,-123.127466,2015-04-25 02:36:02.626
10186,34247,Entire home/apt,,Downtown,68,4.5,3.0,1.0,135.0,3.0,49.289281,-123.126993,2015-04-25 03:43:29.762
10188,34247,Entire home/apt,,Downtown,88,4.5,4.0,1.0,149.0,3.0,49.284412,-123.115196,2015-04-25 03:45:23.625
11400,42305,Private room,,Riley Park,55,4.5,1.0,1.0,50.0,2.0,49.253756,-123.112659,2015-04-25 02:49:05.364
13126,51168,Private room,,Shaughnessy,0,,2.0,1.0,135.0,2.0,49.24079,-123.139677,2015-04-25 01:51:26.143
13188,51466,Entire home/apt,,Riley Park,104,5.0,4.0,0.0,100.0,2.0,49.24577,-123.105158,2015-04-25 02:44:52.893
13358,52116,Entire home/apt,,West End,151,4.5,2.0,1.0,100.0,1.0,49.28209,-123.12515,2015-04-25 01:33:35.427
13490,52467,Entire home/apt,,Kensington-Cedar Cottage,48,5.0,2.0,1.0,140.0,3.0,49.255501,-123.066955,2015-04-25 03:22:24.963
13537,53029,Entire home/apt,,Riley Park,0,,2.0,,409.0,4.0,49.242791,-123.100753,2015-04-25 04:02:30.506
13811,54284,Entire home/apt,,Kitsilano,0,,3.0,,198.0,10.0,49.259843,-123.17421,2015-04-25 04:17:03.740
14014,55038,Entire home/apt,,Hastings-Sunrise,44,5.0,4.0,2.0,100.0,3.0,49.290943,-123.047096,2015-04-25 03:33:18.233
14031,55085,Entire home/apt,,Riley Park,8,4.5,3.0,1.0,159.0,3.0,49.238226,-123.100033,2015-04-25 03:48:32.922
14267,56030,Entire home/apt,,Kensington-Cedar Cottage,8,5.0,4.0,0.0,150.0,2.0,49.249739,-123.081077,2015-04-25 03:30:31.111
14424,56709,Entire home/apt,,Downtown Eastside,115,4.5,2.0,1.0,100.0,3.0,49.279492,-123.088748,2015-04-25 02:06:18.772
14492,56071,Private room,,Grandview-Woodland,0,,2.0,1.0,271.0,7.0,49.264805,-123.076876,2015-04-25 03:05:41.602
14538,57143,Private room,,Downtown,0,,2.0,1.0,406.0,1.0,49.27299,-123.100873,2015-04-25 03:43:33.236
14716,57792,Entire home/apt,,West End,0,,1.0,,503.0,5.0,49.285581,-123.124751,2015-04-25 02:38:36.591
15628,56432,Private room,,Downtown,70,5.0,2.0,1.0,125.0,5.0,49.276201,-123.124068,2015-04-25 01:06:58.617
15881,62128,Entire home/apt,,Kensington-Cedar Cottage,0,,3.0,,719.0,1.0,49.253567,-123.076294,2015-04-25 01:04:35.966
16036,62602,Private room,,Grandview-Woodland,0,,2.0,1.0,252.0,2.0,49.291684,-123.05678,2015-04-25 03:11:59.890
