room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
8403496,1311,43296991,Shared room,,Vancouver BC,,West End,0,0.0,2,1.0,,76.0,,2017-06-11 19:52:14.461625,49.278164,-123.131346,0101000020E6100000779D0DF967C85EC05776C1E09AA34840
18632881,1311,826171,Shared room,,Vancouver BC,,West End,2,0.0,1,1.0,,65.0,,2017-06-11 19:52:14.458890,49.285932,-123.135314,0101000020E6100000382C0DFCA8C85EC0A070766B99A44840
10224522,1311,29582,Shared room,,Vancouver BC,,Downtown,2,0.0,2,1.0,,69.0,,2017-06-11 19:52:14.455744,49.273798,-123.117669,0101000020E610000032B08EE387C75EC0E8DA17D00BA34840
4465499,1311,1198056,Shared room,,Vancouver BC,,Strathcona,26,5.0,2,1.0,,67.0,,2017-06-11 19:52:14.452677,49.267667,-123.09741,0101000020E61000006A1327F73BC65EC0F69B89E942A24840
6767893,1311,16331238,Shared room,,Vancouver BC,,Mount Pleasant,16,5.0,2,1.0,,44.0,,2017-06-11 19:52:12.404917,49.270995,-123.1023,0101000020E61000005F984C158CC65EC09430D3F6AFA24840
8170040,1311,43118605,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,1,1.0,,45.0,,2017-06-11 19:52:12.400874,49.275476,-123.057329,0101000020E610000031074147ABC35EC09C6A2DCC42A34840
18794056,1311,63532318,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,4,1.0,,49.0,,2017-06-11 19:52:12.392317,49.27019,-123.075168,0101000020E61000002B6D718DCFC45EC066DAFE9595A24840
10393465,1311,47343664,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,44.0,,2017-06-11 19:52:12.386237,49.2622,-123.161834,0101000020E61000006058FE7C5BCA5EC06F8104C58FA14840
15109038,1311,1713275,Shared room,,Vancouver BC,,West End,3,4.5,1,1.0,,54.0,,2017-06-11 19:52:12.378801,49.28759,-123.140405,0101000020E610000079CC4065FCC85EC00D54C6BFCFA44840
7967856,1311,40832699,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,61.0,,2017-06-11 19:52:12.374439,49.279364,-123.134299,0101000020E6100000AC38D55A98C85EC002D71533C2A34840
8539726,1311,44957975,Shared room,,Vancouver BC,,Victoria-Fraserview,0,0.0,1,1.0,,61.0,,2017-06-11 19:52:12.367233,49.222801,-123.071432,0101000020E6100000D3F8855792C45EC00F4240BE849C4840
16768905,1311,88214004,Shared room,,Vancouver BC,,West End,2,0.0,1,1.0,,46.0,,2017-06-11 19:52:12.359164,49.27925,-123.133881,0101000020E610000092239D8191C85EC039B4C876BEA34840
17795574,1311,121594106,Shared room,,Vancouver BC,,Grandview-Woodland,1,0.0,2,1.0,,57.0,,2017-06-11 19:52:12.350460,49.2767,-123.066547,0101000020E61000006729594E42C45EC0CF66D5E76AA34840
5232056,1311,27078440,Shared room,,Vancouver BC,,Downtown,1,0.0,3,1.0,,49.0,,2017-06-11 19:52:12.335678,49.278896,-123.115959,0101000020E6100000522B4CDF6BC75EC01C7E37DDB2A34840
7499825,1311,2755600,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,42.0,,2017-06-11 19:52:11.031634,49.279076,-123.136418,0101000020E61000007D259012BBC85EC09C8C2AC3B8A34840
14843775,1311,92878911,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,58.0,,2017-06-11 19:52:11.021439,49.257703,-123.159559,0101000020E610000014B2F33636CA5EC0618A7269FCA04840
15470323,1311,80555166,Shared room,,Vancouver BC,,West End,8,4.5,1,1.0,,46.0,,2017-06-11 19:52:11.016413,49.283427,-123.12615,0101000020E6100000FC1873D712C85EC0D6E6FF5547A44840
11590225,1311,10734062,Shared room,,Vancouver BC,,West End,12,5.0,2,1.0,,42.0,,2017-06-11 19:52:11.011366,49.286864,-123.137893,0101000020E61000003B56293DD3C85EC02B33A5F5B7A44840
12608756,1311,29575891,Shared room,,Vancouver BC,,West End,23,5.0,1,1.0,,42.0,,2017-06-11 19:52:11.000164,49.288991,-123.132595,0101000020E61000003D27BD6F7CC85EC04FEB36A8FDA44840
8655906,1311,10374208,Shared room,,Vancouver BC,,West End,19,5.0,1,1.0,,58.0,,2017-06-11 19:52:10.993001,49.277893,-123.13366,0101000020E61000002332ACE28DC85EC0C76471FF91A34840
7181988,1311,1504812,Shared room,,Vancouver BC,,Hastings-Sunrise,16,4.5,16,1.0,,58.0,,2017-06-11 19:52:10.986521,49.265387,-123.042681,0101000020E610000047CA1649BBC25EC04BE48233F8A14840
2237295,1311,11423475,Shared room,,Vancouver BC,,Downtown,1,0.0,1,1.0,,54.0,,2017-06-11 19:52:10.981139,49.279664,-123.121959,0101000020E6100000FC1C1F2DCEC75EC02CEFAA07CCA34840
