room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
796016,4191094,Entire home/apt,,Downtown,6.0,5.0,4.0,2.0,215.0,5.0,49.284401,-123.115907,2015-08-22 06:35:57.703632
2831468,14485004,Entire home/apt,,South Cambie,16.0,5.0,2.0,1.0,91.0,3.0,49.252194,-123.11736,2015-08-22 06:35:57.703632
6015111,8570848,Entire home/apt,,Downtown Eastside,2.0,5.0,3.0,1.0,39.0,1.0,49.282111,-123.096693,2015-08-22 07:13:59.588100
4428703,22990801,Entire home/apt,,West End,0.0,,2.0,1.0,78.0,3.0,49.286744,-123.137353,2015-08-22 08:39:41.788484
7332091,28414778,Entire home/apt,,Kitsilano,6.0,5.0,2.0,0.0,86.0,2.0,49.268231,-123.151154,2015-08-22 07:58:41.038037
4681746,11156615,Entire home/apt,,Downtown,10.0,5.0,2.0,1.0,60.0,2.0,49.276153,-123.121954,2015-08-22 06:35:57.703632
392894,1964936,Entire home/apt,,Kitsilano,56.0,5.0,3.0,2.0,86.0,3.0,49.26623,-123.178256,2015-08-22 06:35:57.703632
5885195,198482,Private room,,South Cambie,3.0,5.0,2.0,1.0,45.0,3.0,49.254935,-123.124187,2015-08-22 06:58:03.987658
5174834,16136388,Private room,,Downtown,25.0,5.0,2.0,1.0,59.0,1.0,49.279738,-123.120495,2015-08-22 06:35:57.703632
7160862,8010800,Private room,,Fairview,5.0,5.0,2.0,1.0,47.0,1.0,49.26516,-123.138402,2015-08-22 06:43:55.746758
1815416,9508751,Private room,,Riley Park,12.0,5.0,2.0,1.0,47.0,2.0,49.251558,-123.101313,2015-08-22 06:35:57.703632
2017305,10374538,Entire home/apt,,Grandview-Woodland,14.0,4.5,5.0,3.0,94.0,2.0,49.26346,-123.067872,2015-08-22 07:07:43.758230
1557487,2656597,Private room,,Fairview,48.0,5.0,1.0,1.0,59.0,1.0,49.264978,-123.137715,2015-08-22 06:35:57.703632
78016,30899,Entire home/apt,,Downtown Eastside,28.0,4.5,,2.0,124.0,4.0,49.280658,-123.108918,2015-08-22 06:35:57.703632
2977617,8295546,Entire home/apt,,Downtown Eastside,13.0,4.5,2.0,0.0,78.0,3.0,49.281249,-123.107126,2015-08-22 06:35:57.703632
1768924,9293516,Entire home/apt,,Mount Pleasant,1.0,5.0,2.0,0.0,70.0,1.0,49.259335,-123.104597,2015-08-22 08:05:50.550428
2722632,13932306,Entire home/apt,,Dunbar Southlands,16.0,5.0,3.0,1.0,86.0,7.0,49.231863,-123.188802,2015-08-22 06:35:57.703632
5526202,17507814,Entire home/apt,,Downtown,37.0,4.5,4.0,1.0,156.0,,49.277922,-123.115591,2015-08-22 06:35:57.703632
6783555,35510415,Private room,,Hastings-Sunrise,0.0,,1.0,1.0,39.0,2.0,49.262446,-123.055408,2015-08-22 06:46:58.955361
5159978,22254712,Private room,,Kitsilano,14.0,5.0,2.0,1.0,59.0,2.0,49.265233,-123.148626,2015-08-22 06:35:57.703632
