room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13802466,81180478,Entire home/apt,,Grandview-Woodland,5,3.5,2,1.0,61.0,1.0,49.263127,-123.075805,2016-08-20 18:41:03.593909
4254023,22074468,Private room,,Downtown,150,5.0,2,1.0,60.0,,49.273852,-123.100392,2016-08-20 18:40:57.716190
11827887,15958028,Private room,,Kensington-Cedar Cottage,15,5.0,2,1.0,45.0,1.0,49.26079,-123.063151,2016-08-20 18:40:48.174495
9098193,2777740,Entire home/apt,,Fairview,2,,1,1.0,109.0,2.0,49.262207,-123.139201,2016-08-20 18:40:44.358470
6871721,8541759,Private room,,Downtown,21,4.5,1,1.0,82.0,2.0,49.276002,-123.100841,2016-08-20 18:40:41.299540
2183209,11132986,Entire home/apt,,Kitsilano,40,4.5,2,1.0,75.0,3.0,49.266355,-123.157588,2016-08-20 18:40:35.280738
10539307,54342403,Private room,,Sunset,1,,2,1.0,65.0,2.0,49.224921,-123.095858,2016-08-20 18:40:25.493903
11906047,54545860,Entire home/apt,,Kensington-Cedar Cottage,23,5.0,5,2.0,121.0,2.0,49.251147,-123.07598,2016-08-20 18:40:18.797794
770896,4066775,Entire home/apt,,Sunset,0,,7,5.0,201.0,7.0,49.214637,-123.101106,2016-08-20 18:40:20.069511
6871805,36014126,Entire home/apt,,Kensington-Cedar Cottage,17,5.0,4,2.0,110.0,2.0,49.241888,-123.087627,2016-08-20 18:40:11.356779
7418750,16690579,Private room,,Mount Pleasant,26,5.0,2,1.0,72.0,2.0,49.270458,-123.10263,2016-08-20 18:40:04.031302
5183498,5233549,Entire home/apt,,Riley Park,0,,5,2.0,96.0,3.0,49.234654,-123.104253,2016-08-20 18:40:00.153771
12836806,70085618,Entire home/apt,,Mount Pleasant,0,,3,1.0,68.0,14.0,49.259508,-123.099073,2016-08-20 18:39:53.426631
13293016,75016966,Entire home/apt,,Mount Pleasant,2,,2,0.0,68.0,3.0,49.262103,-123.102391,2016-08-20 18:39:43.745949
7698119,6599704,Entire home/apt,,Riley Park,0,,6,3.0,240.0,7.0,49.238988,-123.099183,2016-08-20 18:39:32.667933
13714128,43040449,Entire home/apt,,Dunbar Southlands,2,,6,4.0,280.0,2.0,49.235644,-123.195275,2016-08-20 18:39:28.250655
9350331,48527319,Entire home/apt,,West End,1,,5,2.0,96.0,7.0,49.288927,-123.129216,2016-08-20 18:39:22.715860
