room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13157208,1431,71210528,Shared room,,Vancouver BC,,Mount Pleasant,8,5.0,3,1.0,,99.0,,2017-07-11 01:17:36.295686,49.261169,-123.10527,0101000020E6100000FFCF61BEBCC65EC051DD5CFC6DA14840
5615227,1431,15247430,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,75,4.5,3,1.0,,70.0,,2017-07-11 01:17:33.429490,49.239208,-123.085231,0101000020E6100000BE66B96C74C55EC08578245E9E9E4840
14689087,1431,30304826,Shared room,,Vancouver BC,,Mount Pleasant,78,5.0,2,1.0,,35.0,,2017-07-11 01:17:29.226313,49.264093,-123.095186,0101000020E61000005F42058717C65EC0200DA7CCCDA14840
13979844,1431,63829759,Shared room,,Vancouver BC,,Fairview,1,0.0,2,1.0,,36.0,,2017-07-11 01:17:29.218755,49.26232,-123.132627,0101000020E610000043E4F4F57CC85EC01A8BA6B393A14840
9051802,1431,18643300,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,320.0,,2017-07-11 01:17:27.667552,49.263225,-123.175918,0101000020E6100000C631923D42CB5EC0AB3E575BB1A14840
8538940,1431,44954344,Shared room,,Vancouver BC,,Dunbar Southlands,0,0.0,2,1.0,,391.0,,2017-07-11 01:17:27.664047,49.24139,-123.17148,0101000020E6100000C2FA3F87F9CA5EC06DCA15DEE59E4840
14427203,1431,75093232,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,1,1.0,,200.0,,2017-07-11 01:17:25.389786,49.262306,-123.06216,0101000020E6100000A4C7EF6DFAC35EC0B5C5353E93A14840
14452478,1431,47665878,Shared room,,Vancouver BC,,Fairview,0,0.0,1,1.0,,176.0,,2017-07-11 01:17:24.371633,49.263327,-123.132609,0101000020E6100000F08975AA7CC85EC0AF93FAB2B4A14840
14360802,1431,88056646,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,160.0,,2017-07-11 01:17:24.368277,49.271287,-123.151677,0101000020E61000008CA37213B5C95EC03C6A4C88B9A24840
14372272,1431,2392174,Shared room,,Vancouver BC,,Mount Pleasant,0,0.0,1,1.0,,160.0,,2017-07-11 01:17:24.365598,49.262802,-123.110146,0101000020E610000041F2CEA10CC75EC065A9F57EA3A14840
14632671,1431,90836371,Shared room,,Vancouver BC,,Downtown,6,5.0,6,1.0,,178.0,,2017-07-11 01:17:24.362428,49.279162,-123.112267,0101000020E6100000E25AED612FC75EC09A249694BBA34840
19712884,1431,1522256,Shared room,,Vancouver BC,,Downtown Eastside,0,0.0,2,1.0,,143.0,,2017-07-11 01:17:22.668141,49.282595,-123.108027,0101000020E6100000710514EAE9C65EC0AE81AD122CA44840
6452439,1431,29468683,Shared room,,Vancouver BC,,Downtown,6,4.5,2,1.0,,126.0,,2017-07-11 01:17:22.664417,49.27477,-123.116545,0101000020E6100000CAE0287975C75EC001F6D1A92BA34840
13641070,1431,79060770,Shared room,,Vancouver BC,,Riley Park,2,0.0,4,1.0,,104.0,,2017-07-11 01:17:21.662667,49.254428,-123.106758,0101000020E610000087A5811FD5C65EC0E597C11891A04840
8169348,1431,43115473,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,119.0,,2017-07-11 01:17:21.660253,49.261648,-123.164147,0101000020E6100000232F6B6281CA5EC02B8881AE7DA14840
8607688,1431,45284490,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,0,0.0,1,1.0,,119.0,,2017-07-11 01:17:21.657465,49.25436,-123.089855,0101000020E610000074982F2FC0C55EC08DB454DE8EA04840
17911210,1431,1522256,Shared room,,Vancouver BC,,Downtown Eastside,6,5.0,2,1.0,,119.0,,2017-07-11 01:17:21.654410,49.282813,-123.107483,0101000020E610000010786000E1C65EC01BF1643733A44840
8426843,1431,44378140,Shared room,,Vancouver BC,,Fairview,0,0.0,1,1.0,,119.0,,2017-07-11 01:17:21.650981,49.259338,-123.125987,0101000020E6100000272EC72B10C85EC0164ED2FC31A14840
14200024,1431,86143828,Shared room,,Vancouver BC,,Downtown,0,0.0,1,1.0,,90.0,,2017-07-11 01:17:20.322849,49.276025,-123.126622,0101000020E6100000103D29931AC85EC06FF085C954A34840
14524830,1431,43115473,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,93.0,,2017-07-11 01:17:20.319399,49.263284,-123.165686,0101000020E6100000ECD973999ACA5EC0B0C7444AB3A14840
4720823,1431,24386362,Shared room,,Vancouver BC,,West End,0,0.0,2,1.0,,97.0,,2017-07-11 01:17:20.316759,49.277513,-123.133836,0101000020E6100000C2C1DEC490C85EC0809BC58B85A34840
8224016,1431,39600328,Shared room,,Vancouver BC,,Fairview,0,0.0,1,1.0,,96.0,,2017-07-11 01:17:20.313621,49.260354,-123.135661,0101000020E6100000EE9579ABAEC85EC0FFB0A54753A14840
7055376,1431,11337624,Shared room,,Vancouver BC,,Downtown,57,5.0,1,1.0,,82.0,,2017-07-11 01:17:20.311196,49.276667,-123.12129,0101000020E61000003DD52137C3C75EC0F47002D369A34840
7967856,1431,40832699,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,64.0,,2017-07-11 01:17:18.646232,49.279364,-123.134299,0101000020E6100000AC38D55A98C85EC002D71533C2A34840
7146610,1431,7682214,Shared room,,Vancouver BC,,Downtown,15,5.0,2,1.0,,64.0,,2017-07-11 01:17:18.643761,49.274738,-123.124473,0101000020E61000000A0F9A5DF7C75EC0F67B629D2AA34840
8539726,1431,44957975,Shared room,,Vancouver BC,,Victoria-Fraserview,0,0.0,1,1.0,,64.0,,2017-07-11 01:17:18.640638,49.222801,-123.071432,0101000020E6100000D3F8855792C45EC00F4240BE849C4840
19363422,1431,135720059,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,67.0,,2017-07-11 01:17:18.638148,49.288451,-123.13408,0101000020E61000000DC347C494C85EC0CFBF5DF6EBA44840
17448786,1431,9194787,Shared room,,Vancouver BC,,Arbutus Ridge,0,0.0,1,1.0,,75.0,,2017-07-11 01:17:18.634967,49.250127,-123.168393,0101000020E610000005F86EF3C6CA5EC05D6C5A2904A04840
8614573,1431,45317404,Shared room,,Vancouver BC,,Killarney,0,0.0,1,1.0,,80.0,,2017-07-11 01:17:18.630249,49.222055,-123.026217,0101000020E61000005A66118AADC15EC0E674594C6C9C4840
8403496,1431,43296991,Shared room,,Vancouver BC,,West End,0,0.0,2,1.0,,80.0,,2017-07-11 01:17:18.626595,49.278164,-123.131346,0101000020E6100000779D0DF967C85EC05776C1E09AA34840
8207953,1431,24835523,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,72.0,,2017-07-11 01:17:18.615804,49.266979,-123.146911,0101000020E61000000D1B65FD66C95EC001DC2C5E2CA24840
10317861,1431,53091063,Shared room,,Vancouver BC,,Downtown Eastside,0,0.0,1,1.0,,80.0,,2017-07-11 01:17:18.613419,49.283102,-123.106427,0101000020E6100000541A31B3CFC65EC052B7B3AF3CA44840
10224522,1431,29582,Shared room,,Vancouver BC,,Downtown,2,0.0,2,1.0,,72.0,,2017-07-11 01:17:18.610554,49.273798,-123.117669,0101000020E610000032B08EE387C75EC0E8DA17D00BA34840
6974378,1431,36570213,Shared room,,Vancouver BC,,Fairview,22,5.0,1,1.0,,76.0,,2017-07-11 01:17:18.608007,49.265948,-123.134566,0101000020E6100000D449B6BA9CC85EC0E33785950AA24840
19676826,1431,39769945,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,79.0,,2017-07-11 01:17:18.605670,49.285343,-123.137139,0101000020E61000006500A8E2C6C85EC03E92921E86A44840
17795574,1431,121594106,Shared room,,Vancouver BC,,Grandview-Woodland,4,4.5,2,1.0,,79.0,,2017-07-11 01:17:18.603477,49.2767,-123.066547,0101000020E61000006729594E42C45EC0CF66D5E76AA34840
7673465,1431,40291679,Shared room,,Vancouver BC,,West End,11,5.0,1,1.0,,72.0,,2017-07-11 01:17:18.600233,49.278766,-123.13435,0101000020E6100000ED0DBE3099C85EC04D9EB29AAEA34840
8047959,1431,19666634,Shared room,,Vancouver BC,,Downtown Eastside,18,5.0,4,1.0,,75.0,,2017-07-11 01:17:18.597282,49.27759,-123.098914,0101000020E610000075C7629B54C65EC02BD9B11188A34840
4465499,1431,1198056,Shared room,,Vancouver BC,,Strathcona,27,5.0,4,1.0,,70.0,,2017-07-11 01:17:18.594012,49.267667,-123.09741,0101000020E61000006A1327F73BC65EC0F69B89E942A24840
1210267,1431,6609569,Shared room,,Vancouver BC,,Mount Pleasant,0,0.0,2,1.0,,52.0,,2017-07-11 01:17:17.054034,49.265875,-123.111583,0101000020E610000088F2052D24C75EC079E9263108A24840
10393465,1431,47343664,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,46.0,,2017-07-11 01:17:17.051388,49.2622,-123.161834,0101000020E61000006058FE7C5BCA5EC06F8104C58FA14840
5232056,1431,27078440,Shared room,,Vancouver BC,,Downtown,1,0.0,3,1.0,,52.0,,2017-07-11 01:17:17.048553,49.278896,-123.115959,0101000020E6100000522B4CDF6BC75EC01C7E37DDB2A34840
16768905,1431,88214004,Shared room,,Vancouver BC,,West End,3,4.5,1,1.0,,48.0,,2017-07-11 01:17:17.045399,49.27925,-123.133881,0101000020E610000092239D8191C85EC039B4C876BEA34840
15109038,1431,1713275,Shared room,,Vancouver BC,,West End,3,4.5,1,1.0,,56.0,,2017-07-11 01:17:17.042460,49.28759,-123.140405,0101000020E610000079CC4065FCC85EC00D54C6BFCFA44840
11590225,1431,10734062,Shared room,,Vancouver BC,,West End,12,5.0,2,1.0,,44.0,,2017-07-11 01:17:17.039703,49.286864,-123.137893,0101000020E61000003B56293DD3C85EC02B33A5F5B7A44840
7499825,1431,2755600,Shared room,,Vancouver BC,,West End,0,0.0,1,1.0,,44.0,,2017-07-11 01:17:17.035299,49.279076,-123.136418,0101000020E61000007D259012BBC85EC09C8C2AC3B8A34840
19476782,1431,6823825,Shared room,,Vancouver BC,,Downtown Eastside,2,0.0,1,1.0,,60.0,,2017-07-11 01:17:15.456082,49.282744,-123.10887,0101000020E6100000FE60E0B9F7C65EC0F39194F430A44840
19626631,1431,10043220,Shared room,,Vancouver BC,,Downtown,0,0.0,1,1.0,,45.0,,2017-07-11 01:17:15.453853,49.274029,-123.127721,0101000020E6100000CB80B3942CC85EC0EA93DC6113A34840
18191035,1431,38029432,Shared room,,Vancouver BC,,Downtown,10,5.0,1,1.0,,52.0,,2017-07-11 01:17:15.445857,49.2782,-123.125866,0101000020E61000006A6B44300EC85EC0A4DFBE0E9CA34840
7181988,1431,1504812,Shared room,,Vancouver BC,,Hastings-Sunrise,17,4.5,16,1.0,,60.0,,2017-07-11 01:17:15.443007,49.265387,-123.042681,0101000020E610000047CA1649BBC25EC04BE48233F8A14840
13829541,1431,10365557,Shared room,,Vancouver BC,,Downtown Eastside,1,0.0,2,1.0,,52.0,,2017-07-11 01:17:15.440302,49.279841,-123.110074,0101000020E6100000F488D1730BC75EC03B8A73D4D1A34840
2163742,1431,5656886,Shared room,,Vancouver BC,,Grandview-Woodland,61,5.0,2,1.0,,49.0,,2017-07-11 01:17:15.437414,49.263159,-123.074236,0101000020E6100000E50B5A48C0C45EC0F452B131AFA14840
18650591,1431,129597722,Shared room,,Vancouver BC,,West End,1,0.0,1,1.0,,44.0,,2017-07-11 01:17:15.435256,49.284968,-123.133011,0101000020E610000087C0914083C85EC00934D8D479A44840
17829212,1431,101460629,Shared room,,Vancouver BC,,Downtown,22,4.5,1,1.0,,48.0,,2017-07-11 01:17:15.432959,49.276198,-123.127368,0101000020E6100000A5A31CCC26C85EC03D9CC0745AA34840
14972569,1431,94313437,Shared room,,Vancouver BC,,Riley Park,0,0.0,2,1.0,,60.0,,2017-07-11 01:17:15.428043,49.234168,-123.104825,0101000020E610000068B3EA73B5C65EC086E28E37F99D4840
12082496,1431,64755102,Shared room,,Vancouver BC,,Oakridge,9,4.5,2,1.0,,56.0,,2017-07-11 01:17:15.419696,49.232583,-123.127755,0101000020E6100000A1B94E232DC85EC0834D9D47C59D4840
12385218,1431,567714,Shared room,,Vancouver BC,,West End,47,5.0,2,1.0,,48.0,,2017-07-11 01:17:15.417346,49.283673,-123.137819,0101000020E61000001D71C806D2C85EC00DE198654FA44840
