room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7634439,38131164.0,Entire home/apt,,West End,10,4.5,2.0,0.0,81.0,2.0,49.279199,-123.131916,2015-11-27 18:12:37.656472
7114568,14912433.0,Entire home/apt,,Mount Pleasant,13,4.0,2.0,1.0,97.0,1.0,49.270572,-123.103333,2015-11-27 18:12:20.861290
4747185,20534205.0,Private room,,Hastings-Sunrise,10,4.0,1.0,1.0,30.0,1.0,49.27469,-123.028716,2015-11-27 18:12:13.816596
5818225,30190297.0,Entire home/apt,,West End,13,4.5,4.0,1.0,100.0,1.0,49.285889,-123.131166,2015-11-27 18:11:58.852347
98830,520997.0,Entire home/apt,,Downtown,110,5.0,4.0,1.0,71.0,3.0,49.279817,-123.12509,2015-11-27 18:11:16.409439
419437,989790.0,Private room,,Kensington-Cedar Cottage,52,4.5,2.0,1.0,54.0,1.0,49.252307,-123.06134,2015-11-27 18:11:09.076239
8666084,21403082.0,Private room,,Downtown,0,,2.0,1.0,77.0,2.0,49.278786,-123.11933,2015-11-27 18:10:43.802201
7421741,7464440.0,Private room,,Downtown,1,5.0,1.0,1.0,74.0,1.0,49.277481,-123.127406,2015-11-27 18:10:38.656946
7022315,9205420.0,Entire home/apt,,Sunset,4,4.5,,4.0,232.0,,49.223369,-123.105864,2015-11-27 18:09:02.045465
3743429,214986.0,Entire home/apt,,Mount Pleasant,10,4.5,2.0,1.0,62.0,2.0,49.265799,-123.092089,2015-11-27 18:08:49.676837
6601846,29467337.0,Entire home/apt,,Marpole,10,3.5,,2.0,57.0,1.0,49.216346,-123.108983,2015-11-27 18:08:44.424442
1339925,7266806.0,Private room,,Mount Pleasant,29,4.5,1.0,1.0,70.0,3.0,49.263147,-123.100462,2015-11-27 18:06:35.469505
6543906,317618.0,Entire home/apt,,Downtown,8,5.0,2.0,0.0,189.0,1.0,49.279188,-123.115917,2015-11-27 18:05:20.748546
8737818,45842426.0,Entire home/apt,,Arbutus Ridge,2,5.0,2.0,1.0,70.0,1.0,49.236552,-123.15655,2015-11-27 18:04:55.669180
3352591,16916620.0,Private room,,Renfrew-Collingwood,0,,2.0,1.0,99.0,7.0,49.237066,-123.027712,2015-11-27 18:03:30.767064
104346,543076.0,Entire home/apt,,Downtown Eastside,91,5.0,3.0,1.0,76.0,2.0,49.278176,-123.08913,2015-11-27 18:02:44.857695
2928580,7232476.0,Entire home/apt,,West End,51,4.5,2.0,1.0,70.0,3.0,49.289302,-123.131167,2015-11-27 18:02:10.475779
5253975,26878756.0,Private room,,Downtown,43,5.0,2.0,1.0,62.0,,49.279548,-123.121024,2015-11-27 18:00:12.885870
