room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2966088,64891,Entire home/apt,,Kensington-Cedar Cottage,11,5.0,7,3.0,178.0,3.0,49.248846,-123.082515,2016-05-20 17:40:48.181803
5145818,4292229,Entire home/apt,,West End,67,4.5,4,1.0,107.0,2.0,49.287057,-123.127654,2016-05-20 17:40:44.822954
12850610,24087870,Entire home/apt,,Downtown,0,,2,1.0,138.0,1.0,49.27732,-123.119461,2016-05-20 17:40:26.491542
8537552,44947866,Entire home/apt,,Grandview-Woodland,16,4.5,4,2.0,59.0,1.0,49.270172,-123.072036,2016-05-20 17:40:19.417326
387605,1939444,Entire home/apt,,Riley Park,12,5.0,4,2.0,118.0,5.0,49.241821,-123.094651,2016-05-20 17:40:12.375243
7734340,40647126,Entire home/apt,,Downtown Eastside,32,5.0,2,0.0,138.0,1.0,49.281965,-123.108378,2016-05-20 17:39:59.607616
4312417,18508964,Entire home/apt,,Mount Pleasant,12,5.0,4,2.0,85.0,2.0,49.263912,-123.095199,2016-05-20 17:39:52.207903
1223989,6677154,Entire home/apt,,Downtown,41,5.0,2,1.0,74.0,,49.277883,-123.129245,2016-05-20 17:39:48.153268
13101724,62944927,Entire home/apt,,Downtown,0,,3,2.0,181.0,1.0,49.275448,-123.125675,2016-05-20 17:39:46.143865
4013673,17876150,Private room,,Kerrisdale,31,4.5,3,1.0,47.0,3.0,49.233945,-123.16695,2016-05-20 17:39:42.496480
6200476,9510958,Entire home/apt,,Dunbar Southlands,0,,5,3.0,155.0,5.0,49.255833,-123.187696,2016-05-20 17:39:37.933265
8941683,22731299,Entire home/apt,,Downtown,14,5.0,5,2.0,299.0,3.0,49.280899,-123.119476,2016-05-20 17:39:34.588141
6421331,33501321,Entire home/apt,,Hastings-Sunrise,20,5.0,4,2.0,118.0,2.0,49.279492,-123.028804,2016-05-20 17:39:31.483581
9390344,24742916,Entire home/apt,,Downtown,12,5.0,4,2.0,236.0,1.0,49.275218,-123.11631,2016-05-20 17:39:12.443971
8325962,23690136,Private room,,Arbutus Ridge,0,,1,1.0,67.0,1.0,49.253164,-123.172235,2016-05-20 17:39:04.287744
12274346,35978577,Entire home/apt,,Downtown,1,,1,0.0,103.0,1.0,49.276266,-123.128331,2016-05-20 17:38:51.967674
12934307,29060945,Entire home/apt,,Downtown,0,,5,2.0,198.0,3.0,49.279435,-123.119189,2016-05-20 17:38:39.136323
2513511,5268156,Entire home/apt,,Downtown,30,4.0,4,1.0,56.0,2.0,49.277851,-123.107901,2016-05-20 17:38:26.733787
6883960,6377678,Entire home/apt,,Mount Pleasant,0,,3,0.0,77.0,3.0,49.266395,-123.096512,2016-05-20 17:38:14.094860
11497329,32978498,Entire home/apt,,Downtown,5,5.0,1,1.0,109.0,4.0,49.276926,-123.128409,2016-05-20 17:38:11.362440
10574347,19900361,Entire home/apt,,Downtown,0,,2,1.0,197.0,1.0,49.274777,-123.118769,2016-05-20 17:38:04.459874
12231393,18121575,Entire home/apt,,Downtown,2,,3,1.0,75.0,3.0,49.280228,-123.10627,2016-05-20 17:38:01.213249
3177788,1803927,Entire home/apt,,Kitsilano,7,4.5,6,2.0,87.0,5.0,49.263066,-123.166237,2016-05-20 17:37:58.029421
4016671,7499193,Entire home/apt,,Grandview-Woodland,78,5.0,2,0.0,85.0,2.0,49.266177,-123.068564,2016-05-20 17:37:51.598001
9909813,24056941,Entire home/apt,,Mount Pleasant,5,5.0,2,0.0,95.0,2.0,49.261881,-123.105034,2016-05-20 17:37:48.414232
8609235,45292376,Entire home/apt,,Dunbar Southlands,0,,1,1.0,78.0,7.0,49.252983,-123.180956,2016-05-20 17:37:41.711206
568636,241772,Private room,,South Cambie,14,4.0,1,1.0,32.0,3.0,49.248741,-123.115605,2016-05-20 17:37:32.355562
7880935,39021349,Private room,,Riley Park,5,4.0,2,1.0,47.0,1.0,49.255829,-123.092975,2016-05-20 17:37:28.088235
8340614,5258749,Entire home/apt,,Downtown,18,5.0,4,2.0,158.0,2.0,49.280898,-123.124983,2016-05-20 17:37:22.160456
266307,1396322,Private room,,Riley Park,25,4.5,4,1.0,75.0,2.0,49.248123,-123.103306,2016-05-20 17:37:15.224282
5990857,31103522,Entire home/apt,,Downtown,7,5.0,4,2.0,99.0,2.0,49.288089,-123.124616,2016-05-20 17:37:09.338811
6167948,3521664,Entire home/apt,,Fairview,16,5.0,2,1.0,67.0,,49.262411,-123.131954,2016-05-20 17:36:52.443710
10371166,36667599,Private room,,Downtown,3,5.0,2,1.0,150.0,1.0,49.276016,-123.116299,2016-05-20 17:36:48.431051
3567343,6717554,Private room,,West End,64,4.5,2,1.0,82.0,2.0,49.285204,-123.123353,2016-05-20 17:36:32.341461
10060002,16302280,Entire home/apt,,Kitsilano,0,,2,1.0,117.0,3.0,49.2593,-123.156265,2016-05-20 17:36:29.790644
11374871,20673927,Entire home/apt,,Kitsilano,1,,2,1.0,68.0,5.0,49.261906,-123.180143,2016-05-20 17:36:22.810100
73423,383369,Entire home/apt,,Downtown,19,4.5,2,1.0,78.0,21.0,49.275097,-123.121715,2016-05-20 17:36:18.474284
10206355,29063350,Entire home/apt,,Grandview-Woodland,4,5.0,3,1.0,56.0,1.0,49.278766,-123.070286,2016-05-20 17:36:14.065574
6634953,26805313,Entire home/apt,,Hastings-Sunrise,7,4.5,4,2.0,90.0,3.0,49.277855,-123.050701,2016-05-20 17:36:00.390517
325795,343195,Entire home/apt,,Grandview-Woodland,67,5.0,2,1.0,56.0,4.0,49.266338,-123.062074,2016-05-20 17:35:57.007632
4816886,1487997,Entire home/apt,,Mount Pleasant,1,,2,1.0,70.0,3.0,49.266223,-123.092669,2016-05-20 17:35:46.067224
9238188,23629057,Entire home/apt,,West End,6,5.0,6,1.0,59.0,1.0,49.284652,-123.13209,2016-05-20 17:35:40.761904
475296,2356016,Entire home/apt,,Downtown,23,4.5,3,1.0,256.0,3.0,49.284422,-123.104873,2016-05-20 17:35:38.735537
8553973,43946543,Private room,,Grandview-Woodland,6,5.0,2,1.0,46.0,1.0,49.265885,-123.072198,2016-05-20 17:35:24.668101
2159758,11020508,Entire home/apt,,Riley Park,19,4.0,5,2.0,109.0,1.0,49.23715,-123.09123,2016-05-20 17:35:20.902458
7047361,25363470,Entire home/apt,,Downtown,38,5.0,4,1.0,56.0,3.0,49.279494,-123.121399,2016-05-20 17:35:14.812303
11492321,16874462,Entire home/apt,,Grandview-Woodland,0,,9,3.0,237.0,3.0,49.2737,-123.0696,2016-05-20 17:35:04.273364
6689940,23229878,Entire home/apt,,Riley Park,11,4.0,4,2.0,70.0,1.0,49.256282,-123.093585,2016-05-20 17:34:53.906306
9115418,7705790,Entire home/apt,,West End,1,,4,2.0,165.0,5.0,49.280687,-123.127131,2016-05-20 17:34:51.254046
5240477,10170342,Entire home/apt,,Kitsilano,9,4.5,4,2.0,120.0,3.0,49.272228,-123.166572,2016-05-20 17:34:47.655032
930076,1223032,Entire home/apt,,Downtown,5,4.5,2,1.0,71.0,14.0,49.278607,-123.121098,2016-05-20 17:34:45.302369
7252746,35335386,Entire home/apt,,Downtown,1,,4,2.0,227.0,2.0,49.277006,-123.129927,2016-05-20 17:34:42.876964
4875141,24750097,Entire home/apt,,West Point Grey,0,,6,2.0,197.0,14.0,49.267738,-123.210961,2016-05-20 17:34:37.730697
