room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6671641,34918602,Entire home/apt,,Grandview-Woodland,36,5.0,4,0.0,76.0,1.0,49.278504,-123.064899,2016-07-18 06:27:25.723414
7999167,7826450,Entire home/apt,,Kensington-Cedar Cottage,0,,4,3.0,119.0,3.0,49.243449,-123.080165,2016-07-18 06:27:07.868323
12651183,2233330,Entire home/apt,,Renfrew-Collingwood,0,,6,2.0,118.0,2.0,49.240889,-123.026068,2016-07-18 06:27:05.259206
8443336,44453689,Entire home/apt,,Renfrew-Collingwood,25,4.5,3,1.0,88.0,2.0,49.234153,-123.025633,2016-07-18 06:26:59.155706
3621849,14989962,Entire home/apt,,Hastings-Sunrise,14,4.5,10,5.0,715.0,1.0,49.289755,-123.0512,2016-07-18 06:26:55.370438
731219,3804851,Entire home/apt,,Kitsilano,4,5.0,2,1.0,139.0,7.0,49.259505,-123.182442,2016-07-18 06:26:50.371159
4312171,4795850,Entire home/apt,,West End,61,4.5,2,0.0,88.0,1.0,49.283272,-123.130804,2016-07-18 06:26:44.970770
13844247,2144925,Entire home/apt,,Kitsilano,1,,4,2.0,79.0,2.0,49.268874,-123.15819,2016-07-18 06:26:10.998229
7114057,10998718,Entire home/apt,,Mount Pleasant,2,,5,3.0,159.0,10.0,49.258136,-123.083578,2016-07-18 06:26:01.767747
4720823,24386362,Shared room,,West End,0,,2,1.0,96.0,1.0,49.277513,-123.133836,2016-07-18 06:25:55.167245
2650335,5695374,Entire home/apt,,Mount Pleasant,21,5.0,4,1.0,79.0,4.0,49.261123,-123.09981,2016-07-18 06:25:50.252209
2380728,12153413,Private room,,Downtown,54,4.5,2,1.0,68.0,3.0,49.278878,-123.120401,2016-07-18 06:25:36.830309
13300602,75114570,Entire home/apt,,Downtown Eastside,3,4.5,4,2.0,309.0,2.0,49.282667,-123.107158,2016-07-18 06:25:25.261209
9611901,844053,Private room,,Downtown Eastside,2,,2,1.0,79.0,2.0,49.277654,-123.095671,2016-07-18 06:25:20.532554
6045404,3959207,Entire home/apt,,Riley Park,6,5.0,6,3.0,317.0,4.0,49.243413,-123.095069,2016-07-18 06:25:15.387498
13915039,71396491,Entire home/apt,,Downtown,1,,4,1.0,156.0,1.0,49.289429,-123.12607,2016-07-18 06:25:11.142665
2867771,14385990,Entire home/apt,,Arbutus Ridge,2,,7,3.0,618.0,7.0,49.253634,-123.171491,2016-07-18 06:25:06.276178
11624193,10298057,Entire home/apt,,Downtown,12,4.5,2,2.0,159.0,2.0,49.280679,-123.124231,2016-07-18 06:25:02.811079
11242550,34594484,Private room,,Renfrew-Collingwood,0,,1,1.0,35.0,1.0,49.254867,-123.033686,2016-07-18 06:24:56.647159
13549570,78004831,Private room,,Renfrew-Collingwood,0,,2,1.0,46.0,3.0,49.250184,-123.035131,2016-07-18 06:24:55.056369
7278999,26510197,Entire home/apt,,Kitsilano,0,,6,2.0,179.0,1.0,49.261821,-123.147035,2016-07-18 06:24:51.697502
12985919,71519703,Entire home/apt,,Riley Park,1,,4,1.0,71.0,2.0,49.252832,-123.099644,2016-07-18 06:24:43.424917
12948716,8996773,Entire home/apt,,Kensington-Cedar Cottage,0,,5,3.0,88.0,3.0,49.23736,-123.070948,2016-07-18 06:24:40.863091
1494951,7186846,Entire home/apt,,Kensington-Cedar Cottage,0,,2,1.0,99.0,5.0,49.244213,-123.088178,2016-07-18 06:24:36.891459
8256474,31487474,Entire home/apt,,Fairview,4,5.0,4,2.0,119.0,1.0,49.259149,-123.140912,2016-07-18 06:24:31.887584
2903990,6571978,Entire home/apt,,Sunset,18,4.5,5,2.0,139.0,3.0,49.227415,-123.098173,2016-07-18 06:24:28.981075
4253750,22074468,Entire home/apt,,Downtown,7,5.0,6,2.0,191.0,,49.273387,-123.102237,2016-07-18 06:24:15.455327
13883739,1340389,Entire home/apt,,Downtown Eastside,0,,2,1.0,199.0,1.0,49.283363,-123.106043,2016-07-18 06:23:33.330664
11573518,33466876,Entire home/apt,,Riley Park,9,4.0,4,2.0,112.0,1.0,49.251936,-123.099906,2016-07-18 06:23:19.253288
3364737,11159213,Entire home/apt,,West End,16,4.5,2,0.0,108.0,1.0,49.286187,-123.128058,2016-07-18 06:23:16.649894
5683583,20666979,Private room,,West End,36,4.5,2,1.0,52.0,1.0,49.282078,-123.125945,2016-07-18 06:23:14.865319
6093824,20698444,Entire home/apt,,Downtown Eastside,91,4.5,2,1.0,174.0,,49.283664,-123.105782,2016-07-18 06:23:11.762431
10151267,2486992,Entire home/apt,,Riley Park,14,5.0,4,2.0,139.0,2.0,49.255026,-123.114134,2016-07-18 06:23:04.539143
2644110,9060366,Entire home/apt,,Grandview-Woodland,17,5.0,3,1.0,71.0,3.0,49.284025,-123.065697,2016-07-18 06:22:48.380381
12247113,5254874,Entire home/apt,,Kitsilano,1,,5,3.0,278.0,1.0,49.264118,-123.184981,2016-07-18 06:22:44.587536
10313923,3370763,Entire home/apt,,Grandview-Woodland,26,5.0,4,1.0,103.0,2.0,49.28158,-123.059327,2016-07-18 06:22:39.067582
5162823,1209220,Entire home/apt,,Mount Pleasant,7,4.5,6,2.0,126.0,2.0,49.258744,-123.106963,2016-07-18 06:22:32.801521
13241475,3512738,Private room,,Marpole,0,,1,1.0,56.0,1.0,49.216854,-123.141366,2016-07-18 06:22:17.319193
252215,1323438,Entire home/apt,,Riley Park,40,5.0,2,1.0,82.0,2.0,49.251545,-123.090732,2016-07-18 06:22:14.219977
602906,1976769,Private room,,Grandview-Woodland,7,5.0,2,1.0,56.0,1.0,49.281768,-123.059475,2016-07-18 06:22:11.417538
13732692,6990684,Entire home/apt,,West End,0,,2,1.0,147.0,,49.282576,-123.135517,2016-07-18 06:22:07.219838
13803623,80904923,Private room,,Renfrew-Collingwood,0,,2,1.0,31.0,3.0,49.238216,-123.05248,2016-07-18 06:21:57.659868
9096230,19136856,Entire home/apt,,Kensington-Cedar Cottage,1,,4,2.0,110.0,2.0,49.249557,-123.07694,2016-07-18 06:21:48.431839
12917707,70840724,Private room,,Marpole,2,,2,1.0,41.0,4.0,49.214424,-123.114122,2016-07-18 06:21:45.354962
8456808,44509479,Entire home/apt,,Kensington-Cedar Cottage,0,,2,1.0,46.0,7.0,49.255324,-123.069827,2016-07-18 06:21:43.669882
13653230,40821205,Entire home/apt,,Riley Park,4,5.0,6,2.0,163.0,2.0,49.244728,-123.090281,2016-07-18 06:21:37.376413
8340614,5258749,Entire home/apt,,Downtown,25,5.0,4,2.0,159.0,2.0,49.280898,-123.124983,2016-07-18 06:21:27.138906
7880497,41539646,Entire home/apt,,Mount Pleasant,9,4.5,4,3.0,115.0,2.0,49.261336,-123.083019,2016-07-18 06:21:20.189652
12400665,67053523,Shared room,,Riley Park,2,,1,1.0,36.0,1.0,49.242769,-123.102102,2016-07-18 06:21:17.314915
2155979,11002289,Entire home/apt,,Downtown,0,,2,0.0,79.0,1.0,49.276921,-123.123199,2016-07-18 06:21:05.922166
9459280,49018798,Entire home/apt,,Riley Park,1,,3,2.0,87.0,1.0,49.237402,-123.098175,2016-07-18 06:21:03.602515
4485577,1533645,Shared room,,Renfrew-Collingwood,13,4.0,3,1.0,68.0,1.0,49.251946,-123.025699,2016-07-18 06:21:00.109936
13137967,73207634,Entire home/apt,,Kerrisdale,2,,3,2.0,82.0,2.0,49.219799,-123.158339,2016-07-18 06:20:57.628526
8885857,6685372,Entire home/apt,,Kensington-Cedar Cottage,4,4.5,2,1.0,44.0,2.0,49.253891,-123.088382,2016-07-18 06:20:52.595025
76230,406594,Entire home/apt,,Riley Park,17,5.0,4,1.0,119.0,4.0,49.244926,-123.095238,2016-07-18 06:20:47.288386
282419,1178426,Private room,,Downtown,31,4.5,2,1.0,63.0,3.0,49.282103,-123.122951,2016-07-18 06:20:42.679331
8583811,326082,Entire home/apt,,Marpole,24,4.5,2,1.0,46.0,,49.214588,-123.126061,2016-07-18 06:20:28.426419
13605029,1741913,Entire home/apt,,Hastings-Sunrise,0,,4,1.0,72.0,3.0,49.275398,-123.039322,2016-07-18 06:20:22.878760
12264631,66052627,Shared room,,West End,0,,1,1.0,79.0,1.0,49.280443,-123.137535,2016-07-18 06:20:19.150070
8085322,22539631,Entire home/apt,,Fairview,8,5.0,2,1.0,99.0,2.0,49.26212,-123.134223,2016-07-18 06:20:15.560571
8741546,12243051,Entire home/apt,,Sunset,1,,4,2.0,158.0,,49.216242,-123.101187,2016-07-18 06:20:13.306170
11128334,45118840,Private room,,Downtown Eastside,9,5.0,1,1.0,36.0,1.0,49.278851,-123.087919,2016-07-18 06:19:59.878124
8273464,30899,Entire home/apt,,Downtown,0,,4,1.0,87.0,4.0,49.273949,-123.127571,2016-07-18 06:19:49.389390
8327047,43896508,Entire home/apt,,Downtown,9,5.0,2,1.0,111.0,2.0,49.280887,-123.124988,2016-07-18 06:19:46.498898
4151438,989790,Entire home/apt,,Kensington-Cedar Cottage,9,4.0,4,2.0,119.0,2.0,49.251679,-123.059683,2016-07-18 06:19:42.037501
6634594,32637133,Entire home/apt,,Fairview,14,4.5,2,1.0,85.0,2.0,49.266901,-123.143524,2016-07-18 06:19:32.999311
7745093,3656529,Entire home/apt,,Victoria-Fraserview,13,4.5,8,3.0,190.0,,49.206595,-123.056978,2016-07-18 06:19:30.603467
13491506,4961909,Entire home/apt,,Renfrew-Collingwood,0,,2,1.0,62.0,2.0,49.254706,-123.050866,2016-07-18 06:19:17.685304
6157451,18280399,Entire home/apt,,Kitsilano,30,4.5,5,2.0,87.0,1.0,49.263216,-123.185394,2016-07-18 04:55:17.631524
1434232,4168586,Entire home/apt,,Downtown,63,4.5,2,1.0,78.0,2.0,49.277314,-123.107926,2016-07-18 04:55:13.304342
7160862,8010800,Private room,,Fairview,5,5.0,2,1.0,47.0,1.0,49.26516,-123.138402,2016-07-18 04:54:53.570796
11548616,22893837,Entire home/apt,,Hastings-Sunrise,5,5.0,2,0.0,52.0,2.0,49.280421,-123.043137,2016-07-18 04:54:44.163932
