room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
274284,1424264,Entire home/apt,,Downtown,16,4.0,,3.0,275.0,4.0,49.275524,-123.102513,2016-02-20 04:24:59.859494
4052245,20182379,Entire home/apt,,Kitsilano,2,5.0,,3.0,301.0,5.0,49.261489,-123.168082,2016-02-20 04:24:53.741704
6328070,13159848,Entire home/apt,,Dunbar Southlands,3,5.0,3.0,1.0,119.0,3.0,49.246702,-123.186831,2016-02-20 04:24:47.509750
8071982,42369117,Entire home/apt,,West End,0,,5.0,2.0,451.0,7.0,49.285334,-123.123563,2016-02-20 04:24:07.234376
4211517,20453427,Entire home/apt,,Mount Pleasant,0,,2.0,1.0,81.0,1.0,49.261576,-123.083263,2016-02-20 04:23:53.035251
9347272,3092935,Entire home/apt,,Downtown,12,5.0,4.0,2.0,97.0,5.0,49.280706,-123.125041,2016-02-20 04:23:40.344922
8632912,1652198,Entire home/apt,,Downtown,6,5.0,4.0,1.0,79.0,3.0,49.281429,-123.121039,2016-02-20 04:23:36.170999
5537668,7205333,Private room,,Arbutus Ridge,6,4.5,1.0,1.0,37.0,120.0,49.253325,-123.171669,2016-02-20 04:23:28.367939
1255248,6835788,Entire home/apt,,Downtown,27,5.0,2.0,1.0,112.0,3.0,49.278928,-123.118064,2016-02-20 04:23:21.244515
3105602,15788576,Entire home/apt,,Sunset,46,5.0,4.0,2.0,73.0,3.0,49.2254,-123.082743,2016-02-20 04:23:05.786868
4888430,25151201,Entire home/apt,,Mount Pleasant,45,5.0,2.0,1.0,76.0,3.0,49.260586,-123.081793,2016-02-20 04:23:03.068440
1437727,7637867,Entire home/apt,,Fairview,15,5.0,2.0,0.0,71.0,5.0,49.259026,-123.139948,2016-02-20 04:22:58.094752
8151832,37424972,Private room,,Sunset,1,4.0,1.0,1.0,30.0,1.0,49.228122,-123.099637,2016-02-20 04:22:30.803041
1479325,483861,Entire home/apt,,West End,11,5.0,2.0,1.0,74.0,,49.279916,-123.134029,2016-02-20 04:22:07.186251
5415662,11296854,Entire home/apt,,Mount Pleasant,4,5.0,2.0,1.0,82.0,7.0,49.27214,-123.101391,2016-02-20 04:21:42.870496
1593149,8497743,Entire home/apt,,Kitsilano,2,5.0,2.0,1.0,94.0,3.0,49.266046,-123.153798,2016-02-20 04:21:32.935928
6028921,13903941,Entire home/apt,,Downtown,3,5.0,2.0,1.0,75.0,3.0,49.289639,-123.127461,2016-02-20 04:21:28.498213
