room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3932791,3842332,Entire home/apt,,Kitsilano,63,4.5,2,1.0,96.0,1.0,49.263104,-123.178883,2016-04-18 05:57:45.903741
9780321,23638598,Private room,,Fairview,0,,2,1.0,40.0,2.0,49.264328,-123.125586,2016-04-18 05:57:27.264990
11279805,31696013,Entire home/apt,,Grandview-Woodland,0,,3,0.0,47.0,2.0,49.265479,-123.071455,2016-04-18 05:57:23.976522
7178024,32813733,Entire home/apt,,Downtown,7,5.0,5,2.0,392.0,3.0,49.275664,-123.11179,2016-04-18 05:57:19.145782
2681047,12940277,Private room,,Sunset,30,4.5,2,1.0,24.0,1.0,49.230389,-123.098113,2016-04-18 05:57:03.135486
784153,3211112,Entire home/apt,,Kitsilano,23,4.5,2,1.0,79.0,14.0,49.262425,-123.173705,2016-04-18 05:56:49.741445
12170009,65375562,Entire home/apt,,Kitsilano,0,,2,1.0,72.0,2.0,49.266811,-123.173927,2016-04-18 05:56:46.833015
8460426,44534973,Private room,,Hastings-Sunrise,0,,1,1.0,40.0,1.0,49.274751,-123.050585,2016-04-18 05:56:41.440180
12113689,64973317,Entire home/apt,,Downtown,0,,3,1.0,108.0,1.0,49.280805,-123.11884,2016-04-18 05:56:33.109075
7717732,943730,Private room,,Kensington-Cedar Cottage,10,5.0,2,1.0,56.0,1.0,49.259261,-123.074516,2016-04-18 05:56:30.856596
9087650,44308433,Entire home/apt,,Downtown,29,5.0,4,2.0,160.0,1.0,49.280585,-123.123766,2016-04-18 05:56:25.723923
7090317,37163199,Shared room,,Kitsilano,17,5.0,1,1.0,36.0,1.0,49.271514,-123.151082,2016-04-18 05:56:10.179628
8170040,43118605,Shared room,,Grandview-Woodland,0,,1,1.0,47.0,1.0,49.275476,-123.057329,2016-04-18 05:56:02.994875
6823338,35737786,Entire home/apt,,Mount Pleasant,1,,2,1.0,73.0,2.0,49.264097,-123.102276,2016-04-18 05:56:00.228515
708827,3453881,Private room,,Kensington-Cedar Cottage,31,5.0,2,1.0,53.0,3.0,49.254039,-123.078887,2016-04-18 05:55:57.614050
9885977,31685027,Private room,,Kitsilano,6,5.0,1,1.0,44.0,2.0,49.272336,-123.158065,2016-04-18 05:55:41.977586
298917,1540518,Entire home/apt,,West Point Grey,106,4.5,4,2.0,100.0,2.0,49.268896,-123.209607,2016-04-18 05:55:16.539714
9009785,7130563,Entire home/apt,,Downtown,0,,2,0.0,88.0,2.0,49.278574,-123.110805,2016-04-18 05:55:07.590542
3158555,16027783,Entire home/apt,,Hastings-Sunrise,41,5.0,2,1.0,61.0,2.0,49.277841,-123.052239,2016-04-18 05:54:55.937255
4975105,21451495,Entire home/apt,,Strathcona,29,4.5,2,0.0,87.0,2.0,49.268775,-123.098161,2016-04-18 05:54:46.617324
1962244,9432236,Entire home/apt,,West End,12,4.5,2,0.0,52.0,2.0,49.285768,-123.133994,2016-04-18 05:54:43.921079
7308582,3411862,Private room,,Hastings-Sunrise,7,4.5,2,1.0,47.0,2.0,49.264103,-123.045111,2016-04-18 05:54:14.261916
5971523,3579758,Entire home/apt,,Kensington-Cedar Cottage,39,5.0,2,0.0,64.0,2.0,49.246863,-123.073045,2016-04-18 05:54:01.170834
7905049,9670798,Entire home/apt,,Downtown,41,5.0,6,1.0,116.0,1.0,49.279139,-123.106276,2016-04-18 05:53:55.323894
12391073,59644302,Private room,,Renfrew-Collingwood,0,,2,1.0,32.0,1.0,49.259135,-123.0426,2016-04-18 05:53:46.654544
9281261,48197349,Entire home/apt,,Downtown,20,5.0,4,2.0,111.0,1.0,49.279352,-123.124716,2016-04-18 05:53:14.241977
18199,70099,Private room,,Downtown Eastside,61,5.0,1,1.0,40.0,2.0,49.277312,-123.085171,2016-04-18 05:53:08.715118
9262866,45154077,Entire home/apt,,Mount Pleasant,2,,6,1.0,64.0,2.0,49.260739,-123.096338,2016-04-18 05:53:06.293038
1309087,6204357,Entire home/apt,,Downtown,2,,4,2.0,191.0,14.0,49.274396,-123.121229,2016-04-18 05:53:03.694409
